Code,Area,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
E09000022,Lambeth,"23,151","24,264","24,019","24,952","26,034","27,186","28,347","29,930","30,633","30,566","33,415","33,821","34,836","35,280","35,397","34,491","34,852","34,670","35,128","36,444"
E09000023,Lewisham,"20,580","22,357","21,990","23,254","22,069","25,238","28,022","27,021","27,673","29,403","30,891","30,806","29,567","29,995","30,478","29,983","30,932","32,217","33,810","29,477"
E09000024,Merton,"18,962","18,906","21,014","22,429","22,959","23,208","25,991","24,883","26,346","28,363","27,662","27,441","28,066","28,613","28,610","27,539","30,040","28,224","29,658","31,109"
E09000025,Newham,"18,862","19,437","21,054","21,420","22,792",#,"26,331","27,162","27,434","29,467","31,028","32,578","29,998","30,540","29,334","29,061","28,886","30,743","30,763","30,583"
E09000026,Redbridge,"19,580","20,256","21,106","22,133","23,407",#,"26,462","27,940","29,429","29,283","31,235","30,086","29,829","28,100","31,215","31,127","29,098","28,237","29,050",#
E09000027,Richmond upon Thames,"22,321","22,574","23,799","23,311","25,549","26,770","26,809","28,610","30,881","32,437","31,733","32,249","32,197","31,505","31,997","31,533","32,660","33,329","32,137","33,787"
E09000028,Southwark,"22,784","24,857","27,114","28,062","29,307","29,609","29,534","31,575","32,000","31,227","34,265","35,050","36,124","36,056","36,198","34,612","36,238","37,159","37,588","39,683"
E09000029,Sutton,"19,582","22,019","22,972","23,311","24,455","24,514","25,714","25,102","25,182","26,082","26,111","26,288","26,743","25,247","30,061","25,797","27,355","28,318","27,854","29,462"
E09000030,Tower Hamlets,"26,376","28,445","31,232","31,168","34,281","39,128","39,493","38,975","41,117","41,880","43,987","44,443","45,970","44,880","46,441","48,309","46,681","45,975","49,479","49,288"
E09000031,Waltham Forest,"18,547","19,776","21,245","21,799","22,918","23,857","21,931","23,074","25,034","26,609","27,651","27,755","28,005","27,235",#,"26,484","29,352","27,455","28,320","30,298"
E09000032,Wandsworth,"21,321","22,840","22,054","23,720","24,299","26,137","26,549","27,405","30,513","30,808","32,373","31,818","32,033","31,262","31,491","31,085","31,968","33,405","32,949","34,244"
E09000033,Westminster,"24,447","25,951","26,829","28,879","29,254","31,482","32,519","33,474","35,315","36,048","36,765","37,836","37,406","37,649","36,946","37,260","39,392","40,000","42,334","43,011"
